Modell;Hersteller;Jahr;Leistung_PS;Drehmoment_Nm;Hubraum_cm3;Zylinder;Höchstgeschwindigkeit_kmh;Leergewicht_kg;Preis_euro;BeschleunigungViertelmeile_sek
M135i Performance;BMW;2020;306;450;1998;4;250;1506;50660;13,28
John Cooper Works GP;Mini;2020;306;450;1998;4;265;1260;47712;13,21
Z40 M40i;BMW;2019;340;500;2998;6;250;1572;62600;12,67
GT 63 S 4Matic+;Mercedes;2020;639;900;3982;8;315;2078;180644;10,98
M850i Gran Coupe;BMW;2020;530;750;4395;8;250;2054;128450;11,95
Panamera Turbo;Porsche;2020;550;770;3996;8;306;2085;182616;11,38
M2 CS;BMW;2020;450;550;2979;6;280;1552;103700;12,03
AMG A 45 S 4Matic+;Mercedes;2020;421;500;1991;4;270;1591;70517;12,12
718 Cayman GTS 4.0;Porsche;2020;400;420;3995;6;293;1390;94862;12,38
M235i xDrive Gran Coupe;BMW;2020;306;450;1998;4;250;1556;52550;13,42
i30 Fastback N Performance;Hyundai;2020;275;353;1998;4;250;1453;38000;14,31
718 Cayman;Porsche;2020;300;380;1988;4;275;1434;68746;12,66
A110 S;Alpine;2020;292;320;1798;4;260;1108;67000;12,69
Alpina B7 Langversion Allrad;BMW;2020;608;800;4395;8;330;2199;159880;11,54
S8 TFSI quattro;Audi;2020;571;800;3996;8;250;2214;150800;11,86
911 Carrera;Porsche;2020;385;450;2981;6;293;1558;115209;12,21
Megane R.S. Trophy;Renault;2020;300;400;1798;4;250;1444;44060;14,17
911 Turbo S;Porsche;2016;580;750;3800;6;330;1605;205133;10,53
GT86;Toyota;2020;200;205;1998;4;226;1230;33890;15,44
M4 Competition;BMW;2020;450;550;2979;6;280;1635;101600;12,27
