,Target_test,Prediction_Tree,Prediction_Tree2,Prediction_Logreg,Prediction_Logreg2
1770,0,0,0.0,0,0.15588293242929357
1771,0,0,0.0,0,0.012267354131784505
1772,1,1,1.0,0,0.020814145470016775
1773,1,0,0.0,0,0.1193082636901467
1774,0,0,0.0,0,0.01393160845570612
1775,1,1,1.0,0,0.09330260937071566
1776,0,0,0.0,0,0.021674293975722462
1777,0,0,0.0,0,0.3128821706110722
1778,0,0,0.0,0,0.020562576565119867
1779,0,1,1.0,0,0.1580658914944748
1780,0,0,0.0,0,0.04721595092623758
1781,0,0,0.0,0,0.01991858441645645
1782,0,1,1.0,1,0.7274815948413634
1783,0,0,0.0,0,0.09800878585415009
1784,0,0,0.0,0,0.023934763066840788
1785,0,1,1.0,1,0.5178204533331051
1786,0,0,0.0,0,0.054776451533834085
1787,0,0,0.0,0,0.022699618553539413
1788,0,0,0.0,0,0.0215254884080951
1789,0,0,0.0,0,0.02024118259361174
1790,1,1,1.0,1,0.9681367573376161
1791,0,0,0.0,0,0.010647276494191478
1792,0,1,1.0,0,0.2490089720473726
1793,0,0,0.0,0,0.03332113081642972
1794,0,0,0.0,0,0.029780865196962478
1795,0,0,0.0,0,0.016067855365110458
1796,0,1,1.0,1,0.6282249794777167
1797,0,1,1.0,0,0.4715588228010066
1798,0,0,0.0,0,0.01681437738738176
1799,0,0,0.0,0,0.013518692314692875
1800,0,0,0.0,0,0.06014709165647048
1801,1,0,0.0,1,0.9094618207436099
1802,0,0,0.0,0,0.014619595990100811
1803,0,1,1.0,0,0.13096531141235992
1804,1,0,0.0,0,0.27540078146722635
1805,0,0,0.0,0,0.01357691410271587
1806,0,0,0.0,0,0.012414902762537431
1807,1,1,1.0,0,0.3344279691185738
1808,0,0,0.0,0,0.10320802191728431
1809,0,0,0.0,0,0.46156141004481543
1810,0,0,0.0,0,0.011353556989956493
1811,0,0,0.0,0,0.06915898538597144
1812,0,0,0.0,0,0.015650677674051875
1813,0,0,0.0,0,0.012490080851670462
1814,0,0,0.0,0,0.014502497423841413
1815,0,0,0.0,0,0.009402016547895482
1816,0,0,0.0,0,0.23397534615734375
1817,0,0,0.0,0,0.010233409500522862
1818,0,0,0.0,0,0.012442965676179732
1819,0,0,0.0,0,0.013822896148889246
1820,0,0,0.0,0,0.2275403632801117
1821,0,1,1.0,0,0.08682454158668353
1822,0,0,0.0,0,0.04243016582849921
1823,0,0,0.0,0,0.020657267501395203
1824,0,0,0.0,0,0.01266924999379982
1825,0,0,0.0,0,0.031301001674373906
1826,0,0,0.0,0,0.3391544147840273
1827,0,0,0.0,0,0.04302065844064974
1828,0,0,0.0,0,0.016209710781493813
1829,0,0,0.0,0,0.013192288589943861
1830,0,0,0.0,0,0.012227070881999454
1831,0,0,0.0,0,0.014915724349616931
1832,0,0,0.0,0,0.012552191161968127
1833,0,0,0.0,0,0.11669899887340744
1834,0,0,0.0,1,0.7517641065276646
1835,0,0,0.0,0,0.13017847559057122
1836,0,0,0.0,0,0.09991569278924071
1837,0,0,0.0,0,0.04631834659107918
1838,0,0,0.0,0,0.023146315531146662
1839,0,0,0.0,0,0.018350061080973777
1840,1,0,0.0,0,0.3939622039360844
1841,0,0,0.0,0,0.020510736083376224
1842,0,0,0.0,0,0.01233723471109895
1843,0,0,0.0,0,0.0479669129570199
1844,0,0,0.0,0,0.010539755869079608
